epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19462.1,1.40873,1.14789,1.05234,0.72367,0.69014,0.71512,0.40089,1.3954,0.79245,1.03407,0.005842,0.005842,0.005842
44,19674.6,1.40325,1.14446,1.04982,0.72885,0.69042,0.71803,0.40041,1.3925,0.78983,1.03321,0.005743,0.005743,0.005743
45,19886.9,1.39622,1.14247,1.04869,0.73103,0.6887,0.71885,0.4004,1.3909,0.7875,1.03278,0.005644,0.005644,0.005644
46,20100.8,1.39382,1.13901,1.04606,0.73533,0.69541,0.72067,0.39973,1.39022,0.78791,1.03243,0.005545,0.005545,0.005545
47,20314.2,1.37876,1.13312,1.04197,0.74156,0.69377,0.7223,0.40012,1.38958,0.78766,1.03205,0.005446,0.005446,0.005446
48,20527.6,1.38011,1.13126,1.04327,0.74032,0.69572,0.72312,0.40097,1.38961,0.78706,1.03204,0.005347,0.005347,0.005347
49,20740.8,1.36626,1.11971,1.03836,0.74015,0.69578,0.72535,0.4012,1.39038,0.78612,1.03247,0.005248,0.005248,0.005248
50,20954.2,1.3641,1.11977,1.03708,0.73754,0.69801,0.72703,0.40177,1.39004,0.78512,1.03229,0.005149,0.005149,0.005149
51,21167.8,1.3583,1.11246,1.03612,0.74351,0.70392,0.72791,0.40346,1.38962,0.78394,1.03249,0.00505,0.00505,0.00505
52,21381.4,1.3538,1.11187,1.03375,0.74468,0.70092,0.7279,0.4029,1.38935,0.78333,1.03237,0.004951,0.004951,0.004951
53,21596.7,1.33996,1.10453,1.02819,0.7422,0.70431,0.72646,0.4035,1.38857,0.7825,1.03215,0.004852,0.004852,0.004852
54,21810.7,1.34032,1.10198,1.02902,0.73359,0.70264,0.72428,0.40336,1.38787,0.78175,1.03186,0.004753,0.004753,0.004753
55,22024.6,1.32945,1.10061,1.02539,0.73981,0.70373,0.72527,0.4025,1.38801,0.78138,1.0317,0.004654,0.004654,0.004654
56,22238.6,1.3247,1.09623,1.0237,0.74266,0.70438,0.72724,0.40322,1.38739,0.78023,1.03149,0.004555,0.004555,0.004555
57,22454,1.32162,1.09284,1.02293,0.73998,0.70854,0.72774,0.40364,1.38709,0.7799,1.03127,0.004456,0.004456,0.004456
58,22669.3,1.31622,1.0882,1.02087,0.7387,0.70935,0.72697,0.40436,1.38656,0.77872,1.03125,0.004357,0.004357,0.004357
59,22884.5,1.31103,1.08844,1.01804,0.74173,0.70909,0.7277,0.40454,1.38574,0.77813,1.03104,0.004258,0.004258,0.004258
60,23100,1.3063,1.08303,1.01874,0.74538,0.70726,0.72802,0.4047,1.38559,0.77631,1.031,0.004159,0.004159,0.004159
61,23314.7,1.30075,1.07777,1.01429,0.7383,0.70971,0.72657,0.40559,1.38568,0.7757,1.03107,0.00406,0.00406,0.00406
62,23533.6,1.29317,1.07437,1.01136,0.73722,0.71274,0.72882,0.40627,1.38543,0.77501,1.03105,0.003961,0.003961,0.003961
63,23739.3,1.28424,1.07025,1.00997,0.73422,0.71021,0.72743,0.40667,1.38522,0.77481,1.031,0.003862,0.003862,0.003862
64,23944.8,1.28345,1.06868,1.0103,0.73314,0.71095,0.72737,0.40656,1.38471,0.77415,1.03087,0.003763,0.003763,0.003763
65,24150.6,1.27294,1.06313,1.00719,0.73238,0.71169,0.72771,0.4064,1.38462,0.7737,1.03064,0.003664,0.003664,0.003664
66,24469.4,1.26491,1.05664,1.00483,0.7332,0.70931,0.72852,0.40682,1.38462,0.773,1.03059,0.003565,0.003565,0.003565
